,model,dataset,accuracy,accuracy,f1,f1,roc_auc,roc_auc,log_loss,log_loss,ks,ks,fold,fold,train_time_s,train_time_s,rmse,rmse,mae,mae,r2,r2,f1_macro,f1_macro,f1_weighted,f1_weighted,roc_auc_ovr,roc_auc_ovr
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
70,lightgbm,wine_quality,,,,,,,,,,,2.0,1.5811388300841898,0.5676558417850174,0.21113149724514926,0.6164607189825455,0.024974201545295914,0.43157927014860276,0.02325953670009572,0.5042868631033093,0.024621996553740276,,,,,,
71,lightgbm,year_prediction,,,,,,,,,,,2.0,1.5811388300841898,8.033297182602109,0.37854813235775303,8.826350431456605,0.12394893642438529,6.14326897806456,0.06554218650863898,0.3440797592024487,0.009654892331926443,,,,,,
72,mlp,adult,0.8556545505131217,0.00617948385722056,0.6728262764259796,0.010337516794115641,0.9134934624170056,0.004248435467770764,0.3066661839538818,0.007366414852009743,0.6660771314681014,0.009114502721351928,2.0,1.5811388300841898,9.159889490198111,0.8453126044238345,,,,,,,,,,,,
73,mlp,amazon_employee,0.9442685485409117,0.0013446161916471366,0.9708834027072999,0.0007426525031743017,0.8273969032983928,0.01393627564554483,0.17411324863550903,0.004052801096751573,0.5293739511796864,0.028837344578287544,2.0,1.5811388300841898,8.67488003356848,0.6784696398220001,,,,,,,,,,,,
74,mlp,bank_marketing,0.9076809011442311,0.002436942883725686,0.5890055880151795,0.013909090158366024,0.9320775427646204,0.0028659211127146215,0.19999096488836784,0.0037321244742112587,0.7326795202944011,0.011234494032348802,2.0,1.5811388300841898,16.992658856790513,5.482332618380389,,,,,,,,,,,,
75,mlp,california_housing,,,,,,,,,,,2.0,1.5811388300841898,8.421061868403921,4.5635361060220045,0.29713179116476257,0.011141263689153033,0.18394167855973728,0.015108021979232918,0.646380053002296,0.026642212966910012,,,,,,
76,mlp,cardiovascular_disease,0.73475,0.0021028633904216294,0.7240380614067387,0.006557902370434491,0.801650936350746,0.0033921326975992704,0.541679154339829,0.003281375232496312,0.47322186176638026,0.005411192962471999,2.0,1.5811388300841898,17.31649386700301,8.088419587544356,,,,,,,,,,,,
77,mlp,covertype,0.909675,0.002187678564140535,,,,,0.23291221973753856,0.005432281699959093,,,2.0,1.5811388300841898,89.71918456921703,0.5110205102149825,,,,,,,0.8661372245828842,0.004055850591382209,0.9098690418530729,0.002247172519185764,0.9829341282108764,0.0007790780778121417
78,mlp,credit_g,0.775,0.06265605517426068,0.8474015878951754,0.04114595944428767,0.7955357142857142,0.0724448193312655,0.4769289221851296,0.08019348906258944,0.4976190476190476,0.12702790973879602,2.0,1.5811388300841898,0.15776603440754117,0.036566736890338125,,,,,,,,,,,,
79,mlp,give_me_some_credit,0.934075,0.0003760402239122759,0.06412841163300112,0.01299917975550181,0.8299774085558159,0.002880943955471516,0.19307824412090807,0.0013157857582981256,0.5277404694789625,0.005724449577449431,2.0,1.5811388300841898,33.95756025820155,6.950428723405089,,,,,,,,,,,,
80,mlp,helena,0.3839636016669284,0.0037831334162069866,,,,,2.518582408337057,0.01556690270422694,,,2.0,1.5811388300841898,59.07224033798557,1.0654887739042331,,,,,,,0.22470747802509705,0.006078004933391248,0.34731160271698724,0.004424427721191858,0.9105237940475295,0.0012956111848713922
81,mlp,higgs,0.7340387557368689,0.004231257448844959,0.7535868206820358,0.00441585678427086,0.8140963820728176,0.00333446461649439,0.523475350135566,0.0036193636944838563,0.46884047259206224,0.008373704555177249,2.0,1.5811388300841898,80.89702867718879,12.724158666355825,,,,,,,,,,,,
