dataset,task_type,model,family,train_size,n_train,n_val,n_test,seed,fit_time_s,roc_auc,ks,log_loss,accuracy,rmse,mae,r2
give_me_some_credit,binary,ft_transformer,deep_learning,8000,7200,800,20000,1,18.87,0.799726,0.468848,0.202885,0.9335,,,
give_me_some_credit,binary,ft_transformer,deep_learning,8000,7200,800,20000,2,7.982,0.816245,0.506516,0.195376,0.93465,,,
give_me_some_credit,binary,ft_transformer,deep_learning,16000,14400,1600,20000,0,13.78,0.822414,0.506159,0.193793,0.9348,,,
give_me_some_credit,binary,ft_transformer,deep_learning,16000,14400,1600,20000,1,10.868,0.82315,0.50421,0.193104,0.936,,,
give_me_some_credit,binary,ft_transformer,deep_learning,16000,14400,1600,20000,2,15.431,0.82425,0.500036,0.191724,0.9353,,,
give_me_some_credit,binary,ft_transformer,deep_learning,32000,28800,3200,20000,0,22.532,0.825828,0.510524,0.192547,0.93535,,,
give_me_some_credit,binary,ft_transformer,deep_learning,32000,28800,3200,20000,1,16.237,0.824226,0.513256,0.19102,0.9363,,,
give_me_some_credit,binary,ft_transformer,deep_learning,32000,28800,3200,20000,2,20.272,0.826412,0.509598,0.190564,0.93565,,,
give_me_some_credit,binary,ft_transformer,deep_learning,64000,57600,6400,20000,0,52.052,0.826648,0.508481,0.191567,0.93545,,,
give_me_some_credit,binary,ft_transformer,deep_learning,64000,57600,6400,20000,1,60.996,0.826667,0.51454,0.190946,0.93545,,,
give_me_some_credit,binary,ft_transformer,deep_learning,64000,57600,6400,20000,2,65.317,0.82789,0.509077,0.190885,0.9347,,,
give_me_some_credit,binary,ft_transformer,deep_learning,80000,72000,8000,20000,0,95.307,0.828675,0.510474,0.190716,0.93545,,,
give_me_some_credit,binary,ft_transformer,deep_learning,80000,72000,8000,20000,1,132.217,0.82695,0.513119,0.191688,0.9346,,,
give_me_some_credit,binary,ft_transformer,deep_learning,80000,72000,8000,20000,2,112.341,0.826963,0.507291,0.191092,0.9355,,,
give_me_some_credit,binary,tabpfn,foundation_model,500,450,50,20000,0,0.594,0.839513,0.535231,0.193225,0.93165,,,
give_me_some_credit,binary,tabpfn,foundation_model,500,450,50,20000,1,0.075,0.844988,0.532469,0.190539,0.9345,,,
give_me_some_credit,binary,tabpfn,foundation_model,500,450,50,20000,2,0.071,0.838183,0.533112,0.19588,0.93315,,,
give_me_some_credit,binary,tabpfn,foundation_model,1000,900,100,20000,0,0.086,0.844333,0.533509,0.190024,0.9349,,,
give_me_some_credit,binary,tabpfn,foundation_model,1000,900,100,20000,1,0.086,0.845513,0.54132,0.19221,0.93225,,,
give_me_some_credit,binary,tabpfn,foundation_model,1000,900,100,20000,2,0.087,0.849894,0.540573,0.189134,0.93335,,,
give_me_some_credit,binary,tabpfn,foundation_model,2000,1800,200,20000,0,0.119,0.856246,0.548873,0.185785,0.9353,,,
give_me_some_credit,binary,tabpfn,foundation_model,2000,1800,200,20000,1,0.118,0.853467,0.542629,0.188102,0.93485,,,
give_me_some_credit,binary,tabpfn,foundation_model,2000,1800,200,20000,2,0.118,0.854209,0.551584,0.186367,0.93445,,,
give_me_some_credit,binary,tabpfn,foundation_model,4000,3600,400,20000,0,0.183,0.857486,0.553589,0.183275,0.93585,,,
give_me_some_credit,binary,tabpfn,foundation_model,4000,3600,400,20000,1,0.186,0.855931,0.544351,0.185936,0.936,,,
give_me_some_credit,binary,tabpfn,foundation_model,4000,3600,400,20000,2,0.184,0.854085,0.542023,0.187182,0.9341,,,
give_me_some_credit,binary,tabpfn,foundation_model,8000,7200,800,20000,0,0.315,0.856766,0.557306,0.183997,0.9352,,,
give_me_some_credit,binary,tabpfn,foundation_model,8000,7200,800,20000,1,0.31,0.857177,0.548554,0.185069,0.93655,,,
give_me_some_credit,binary,tabpfn,foundation_model,8000,7200,800,20000,2,0.313,0.854703,0.54636,0.184706,0.93525,,,
give_me_some_credit,binary,tabpfn,foundation_model,16000,14400,1600,20000,0,0.566,0.860655,0.558588,0.182307,0.9361,,,
give_me_some_credit,binary,tabpfn,foundation_model,16000,14400,1600,20000,1,0.572,0.860007,0.555734,0.182921,0.9359,,,
give_me_some_credit,binary,tabpfn,foundation_model,16000,14400,1600,20000,2,0.563,0.860591,0.558868,0.181723,0.93595,,,
give_me_some_credit,binary,tabpfn,foundation_model,32000,28800,3200,20000,0,1.085,0.861926,0.55919,0.181155,0.93625,,,
give_me_some_credit,binary,tabpfn,foundation_model,32000,28800,3200,20000,1,1.075,0.860987,0.557458,0.181633,0.9361,,,
give_me_some_credit,binary,tabpfn,foundation_model,32000,28800,3200,20000,2,1.087,0.86168,0.556283,0.180394,0.9359,,,
give_me_some_credit,binary,tabpfn,foundation_model,64000,57600,6400,20000,0,7.736,0.86273,0.559228,0.180149,0.9363,,,
give_me_some_credit,binary,tabpfn,foundation_model,64000,57600,6400,20000,1,7.715,0.863418,0.565994,0.180281,0.93695,,,
give_me_some_credit,binary,tabpfn,foundation_model,64000,57600,6400,20000,2,7.725,0.863081,0.56036,0.179781,0.9363,,,
give_me_some_credit,binary,tabpfn,foundation_model,80000,72000,8000,20000,0,7.74,0.863424,0.560969,0.179829,0.9372,,,
give_me_some_credit,binary,tabpfn,foundation_model,80000,72000,8000,20000,1,7.641,0.863539,0.566385,0.180255,0.93655,,,
give_me_some_credit,binary,tabpfn,foundation_model,80000,72000,8000,20000,2,7.679,0.863563,0.563378,0.179613,0.9362,,,
higgs,binary,xgboost,gbdt,500,450,50,19610,0,0.012,0.671742,0.249671,0.688309,0.528557,,,
higgs,binary,xgboost,gbdt,500,450,50,19610,1,0.023,0.689509,0.287365,0.67058,0.605558,,,
